Time,X,Y,Vx,Vy,Mass,ThrustX,ThrustY
0.0000,50.0000,500.0000,2.0000,-20.0000,500.0000,-2400.0000,8000.0000
0.0100,50.0198,499.8003,1.9520,-19.9381,500.0000,-51.0078,6194.5204
0.0200,50.0393,499.6011,1.9510,-19.9123,500.0000,-51.0150,6300.8777
0.0300,50.0588,499.4021,1.9500,-19.8844,500.0000,-51.0340,6292.3545
0.0400,50.0783,499.2034,1.9489,-19.8566,500.0000,-51.0530,6290.7376
0.0500,50.0978,499.0049,1.9479,-19.8289,500.0000,-51.0720,6288.7088
0.0600,50.1172,498.8068,1.9469,-19.8012,500.0000,-51.0909,6286.7078
0.0700,50.1367,498.6089,1.9459,-19.7736,500.0000,-51.1099,6284.7082
0.0800,50.1561,498.4113,1.9448,-19.7460,500.0000,-51.1288,6282.7115
0.0900,50.1756,498.2140,1.9438,-19.7184,500.0000,-51.1478,6280.7178
0.1000,50.1950,498.0169,1.9428,-19.6909,500.0000,-51.1667,6278.7269
0.1100,50.2144,497.8202,1.9418,-19.6634,500.0000,-51.1856,6276.7389
0.1200,50.2339,497.6237,1.9408,-19.6360,500.0000,-51.2045,6274.7538
0.1300,50.2533,497.4275,1.9397,-19.6086,500.0000,-51.2234,6272.7716
0.1400,50.2727,497.2315,1.9387,-19.5812,500.0000,-51.2423,6270.7922
0.1500,50.2920,497.0358,1.9377,-19.5539,500.0000,-51.2611,6268.8156
0.1600,50.3114,496.8404,1.9367,-19.5266,500.0000,-51.2800,6266.8420
0.1700,50.3308,496.6453,1.9356,-19.4994,500.0000,-51.2988,6264.8711
0.1800,50.3501,496.4504,1.9346,-19.4722,500.0000,-51.3177,6262.9032
0.1900,50.3695,496.2559,1.9336,-19.4450,500.0000,-51.3365,6260.9380
0.2000,50.3888,496.0615,1.9325,-19.4179,500.0000,-51.3553,6258.9757
0.2100,50.4081,495.8675,1.9315,-19.3908,500.0000,-51.3741,6257.0163
0.2200,50.4274,495.6737,1.9305,-19.3638,500.0000,-51.3929,6255.0596
0.2300,50.4467,495.4802,1.9295,-19.3368,500.0000,-51.4117,6253.1058
0.2400,50.4660,495.2870,1.9284,-19.3098,500.0000,-51.4305,6251.1548
0.2500,50.4853,495.0940,1.9274,-19.2829,500.0000,-51.4493,6249.2067
0.2600,50.5046,494.9013,1.9264,-19.2560,500.0000,-51.4680,6247.2613
0.2700,50.5238,494.7089,1.9253,-19.2292,500.0000,-51.4868,6245.3188
0.2800,50.5431,494.5167,1.9243,-19.2023,500.0000,-51.5055,6243.3790
0.2900,50.5623,494.3249,1.9233,-19.1756,500.0000,-51.5242,6241.4421
0.3000,50.5815,494.1332,1.9223,-19.1488,500.0000,-51.5429,6239.5080
0.3100,50.6008,493.9419,1.9212,-19.1221,500.0000,-51.5616,6237.5766
0.3200,50.6200,493.7508,1.9202,-19.0955,500.0000,-51.5803,6235.6481
0.3300,50.6392,493.5600,1.9192,-19.0689,500.0000,-51.5990,6233.7223
0.3400,50.6583,493.3694,1.9181,-19.0423,500.0000,-51.6177,6231.7993
0.3500,50.6775,493.1791,1.9171,-19.0158,500.0000,-51.6363,6229.8791
0.3600,50.6967,492.9891,1.9161,-18.9893,500.0000,-51.6550,6227.9617
0.3700,50.7158,492.7993,1.9150,-18.9628,500.0000,-51.6736,6226.0470
0.3800,50.7350,492.6098,1.9140,-18.9364,500.0000,-51.6922,6224.1351
